ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_18860830-A	2.24e-17	3.23e-19	-9.482.897	3.295.971	-0.5843825	OPA1	OPA1, mitochondrial dynamin like GTPase
GI_31341691-S	2.36e-17	3.43e-19	-947.526	3.290.217	-0.52846	MORN4	MORN repeat containing 4
GI_13376368-S	2.47e-17	3.63e-19	-9.467.917	3.284.685	-0.2709347	ATAT1	alpha tubulin acetyltransferase 1
GI_24234682-S	2.52e-17	3.74e-19	-9.464.163	3.281.859	-0.5228098	USP11	ubiquitin specific peptidase 11
GI_20665033-A	2.63e-17	3.92e-19	945.773	3.277.016	0.7437087	TNXB	tenascin XB
GI_5174578-S	2.71e-17	4.07e-19	9.453.042	3.273.489	0.7412182	FOXO4	forkhead box O4
GI_11968040-S	3.03e-17	4.59e-19	943.743	3.261.748	0.6079376	DCLRE1C	DNA cross-link repair 1C
GI_12232414-S	3.08e-17	4.70e-19	9.434.239	325.935	0.4610332	GAREM1	GRB2 associated regulator of MAPK1 subtype 1
GI_7706484-S	3.13e-17	4.82e-19	-9.430.934	3.256.867	-0.3403242	TRAP1	TNF receptor associated protein 1
GI_7706750-S	3.13e-17	4.85e-19	-9.430.255	3.256.357	-0.3477197	TUBG2	tubulin gamma 2
GI_38605732-I	3.33e-17	5.20e-19	9.421.003	3.249.409	0.8716446	NUP43	nucleoporin 43
GI_7019336-S	3.46e-17	5.45e-19	9.414.895	3.244.823	0.682204	CDIP1	cell death inducing p53 target 1
GI_23503286-S	3.62e-17	5.81e-19	9.406.548	323.856	0.6585724	ZNF791	zinc finger protein 791
GI_23111022-S	3.62e-17	5.82e-19	-940.642	3.238.464	-0.7808447	SNX10	sorting nexin 10
GI_5902809-I	3.62e-17	5.83e-19	9.406.069	3.238.201	0.7031439	BMP1	bone morphogenetic protein 1
GI_19923558-S	3.65e-17	5.93e-19	940.399	3.236.642	0.5544151	EMSY	EMSY, BRCA2 interacting transcriptional repressor
GI_24586660-S	3.65e-17	5.96e-19	9.403.325	3.236.143	0.394635		
GI_31542866-S	3.99e-17	6.56e-19	9.390.702	322.668	0.3514104	RRAGC	Ras related GTP binding C
GI_24432073-S	4.12e-17	6.83e-19	-9.385.379	3.222.692	-0.3424552	KLHDC9	kelch domain containing 9
GI_5174736-S	4.22e-17	7.08e-19	-9.380.723	3.219.205	-0.6498319	TUBB3	tubulin beta 3 class III
GI_30410709-S	4.22e-17	7.09e-19	-9.380.465	3.219.012	-0.4818753	EXOC6	exocyst complex component 6
GI_16306581-S	4.25e-17	7.20e-19	-9.378.524	3.217.558	-0.8647086	FBXL2	F-box and leucine rich repeat protein 2
GI_21314691-S	4.95e-17	8.43e-19	-9.357.865	32.021	-0.7230684	PRMT8	protein arginine methyltransferase 8
GI_37545911-S	5.04e-17	8.65e-19	9.354.516	3.199.596	0.8583021		
GI_12232430-S	5.40e-17	9.32e-19	9.344.674	319.224	0.9051486	C11orf1	chromosome 11 open reading frame 1
GI_22748772-S	5.48e-17	9.54e-19	9.341.644	3.189.977	0.8405971	ZNF440	zinc finger protein 440
GI_21359926-S	5.53e-17	9.69e-19	-9.339.618	3.188.463	-0.5700343	AGK	acylglycerol kinase
GI_20336751-I	5.61e-17	9.90e-19	933.686	3.186.404	0.9156045	HIST1H2BD	histone cluster 1, H2bd
GI_38327629-A	5.63e-17	9.99e-19	9.335.613	3.185.473	0.7485534		
GI_24308228-S	5.66e-17	1.01e-18	-9.333.944	3.184.226	-0.4579575	PACSIN1	protein kinase C and casein kinase substrate in neurons 1
GI_22219459-A	5.98e-17	1.08e-18	9.325.949	3.178.259	0.7445468	CREB1	cAMP responsive element binding protein 1
GI_14149711-S	6.18e-17	1.12e-18	9.320.786	3.174.407	0.77044	C1QTNF5	C1q and tumor necrosis factor related protein 5
GI_32307116-A	6.29e-17	1.15e-18	-931.751	3.171.963	-0.452616	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta
GI_4826947-S	7.03e-17	1.29e-18	930.206	3.160.447	0.685963	PRKX	protein kinase, X-linked
GI_4758605-S	7.15e-17	1.32e-18	9.298.922	3.158.109	0.269256	ILK	integrin linked kinase
GI_20357594-S	7.15e-17	1.33e-18	9.298.248	3.157.607	0.9428364	GLTP	glycolipid transfer protein
GI_6912393-S	7.26e-17	1.36e-18	-9.295.277	3.155.395	-0.4731265	GNG3	G protein subunit gamma 3
GI_5031666-S	7.37e-17	1.39e-18	-9.292.593	3.153.396	-0.4787799	DNAL4	dynein axonemal light chain 4
GI_4503814-S	7.38e-17	1.40e-18	9.291.522	3.152.598	0.694356	FUT6	fucosyltransferase 6
GI_42657022-S	7.54e-17	1.44e-18	9.287.849	3.149.864	0.8849514		
GI_13376622-S	7.99e-17	1.53e-18	-9.279.472	3.143.631	-0.4286628	THOC7	THO complex 7
GI_8923058-S	8.68e-17	1.67e-18	9.267.768	3.134.927	0.9314914	MBTD1	mbt domain containing 1
GI_42660803-S	9.08e-17	1.76e-18	9.261.016	3.129.909	0.5680372		
GI_31343498-I	9.69e-17	1.89e-18	9.251.601	3.122.916	0.5835368	FAM181B	family with sequence similarity 181 member B
GI_41352711-S	9.89e-17	1.94e-18	9.248.161	3.120.362	0.5596939	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
GI_34222125-S	1.03e-16	2.03e-18	-924.238	3.116.071	-0.4260632	RWDD2A	RWD domain containing 2A
GI_31341469-S	1.06e-16	2.11e-18	-9.237.091	3.112.147	-0.3940176	KCTD13	potassium channel tetramerization domain containing 13
GI_11345453-S	1.16e-16	2.32e-18	922.445	3.102.773	0.5605431	FANCE	Fanconi anemia complementation group E
GI_18765737-A	1.21e-16	2.43e-18	9.218.698	3.098.511	0.6675861	SMG1	SMG1, nonsense mediated mRNA decay associated PI3K related kinase
GI_34577104-A	1.25e-16	2.54e-18	9.212.873	3.094.196	0.5492554	RBM38	RNA binding motif protein 38
GI_22062991-S	1.46e-16	2.96e-18	-9.192.368	3.079.019	-0.6330522		
GI_42794764-A	1.46e-16	2.98e-18	9.191.491	3.078.371	0.7268498	MAP3K3	mitogen-activated protein kinase kinase kinase 3
GI_13129115-S	1.47e-16	3.03e-18	9.189.549	3.076.935	0.5319613	ZNF426	zinc finger protein 426
GI_22748680-S	1.65e-16	3.41e-18	9.173.626	3.065.166	0.8561861		
GI_30090001-A	1.82e-16	3.80e-18	-9.159.474	3.054.718	-0.489925	ACP1	acid phosphatase 1, soluble
GI_4503180-S	1.82e-16	3.81e-18	-9.158.937	3.054.322	-0.3305711		
GI_7661689-S	1.87e-16	3.94e-18	9.154.657	3.051.163	0.4756711	CCDC9	coiled-coil domain containing 9
GI_4502484-S	1.89e-16	4.01e-18	-9.152.166	3.049.326	-0.4423394	MPPED2	metallophosphoesterase domain containing 2
GI_34222182-S	2.16e-16	4.60e-18	9.134.102	303.601	0.8174883	DDIT4L	DNA damage inducible transcript 4 like
GI_34147448-S	2.18e-16	4.66e-18	-9.132.157	3.034.578	-0.52159	RTN4IP1	reticulon 4 interacting protein 1
GI_34878876-S	2.50e-16	5.38e-18	-9.113.046	302.051	-0.7785632	NRN1	neuritin 1
GI_31377547-S	2.60e-16	5.64e-18	-9.106.899	3.015.989	-10.287.435	PGM2L1	phosphoglucomutase 2 like 1
GI_21361575-S	2.61e-16	5.68e-18	-9.105.822	3.015.197	-0.3705394	ZCCHC17	zinc finger CCHC-type containing 17
GI_6031190-S	2.65e-16	5.80e-18	9.103.067	3.013.172	0.4139202	PHB	prohibitin
GI_4503562-S	2.68e-16	5.89e-18	9.101.091	3.011.719	0.8090064	EMP3	epithelial membrane protein 3
GI_21536323-A	3.59e-16	7.94e-18	9.061.271	298.249	0.4178358		
GI_28872807-S	3.68e-16	8.18e-18	-9.057.214	2.979.517	-0.7961539	GAP43	growth associated protein 43
GI_9257200-S	3.75e-16	8.41e-18	-9.053.564	2.976.843	-0.7002771	CALY	calcyon neuron specific vesicular protein
GI_42660551-S	3.75e-16	8.44e-18	9.053.018	2.976.442	0.7876487		
GI_40068050-I	3.81e-16	8.61e-18	9.050.395	2.974.522	0.8977256	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2
GI_40255103-S	4.21e-16	9.57e-18	9.036.296	2.964.199	0.6843652	ANKLE1	ankyrin repeat and LEM domain containing 1
GI_40788008-S	4.35e-16	9.95e-18	9.031.133	2.960.423	0.58991	SLC43A3	solute carrier family 43 member 3
GI_40807470-S	4.68e-16	1.08e-17	9.020.628	2.952.741	0.6887615	TTF2	transcription termination factor 2
GI_37549342-S	4.85e-16	1.12e-17	-9.015.428	2.948.941	-0.7883393	SLC39A10	solute carrier family 39 member 10
GI_24308252-S	4.90e-16	1.14e-17	9.013.301	2.947.387	0.5132567	DTX2	deltex E3 ubiquitin ligase 2
GI_31377808-S	5.02e-16	1.17e-17	-9.009.158	2.944.361	-0.9191532	PRKCG	protein kinase C gamma
GI_21361790-S	5.02e-16	1.18e-17	9.008.115	2.943.599	0.4706855	MEPCE	methylphosphate capping enzyme
GI_21450801-S	5.02e-16	1.18e-17	-9.007.893	2.943.437	-0.5294119	UBLCP1	ubiquitin like domain containing CTD phosphatase 1
GI_38570148-S	5.18e-16	1.23e-17	9.003.035	2.939.889	0.5488784	WWC3	WWC family member 3
GI_34147573-S	5.21e-16	1.24e-17	9.001.618	2.938.855	0.575957	ITGB5	integrin subunit beta 5
GI_28466996-S	5.48e-16	1.31e-17	8.994.293	293.351	0.339908	DLG5	discs large MAGUK scaffold protein 5
GI_34328906-I	5.51e-16	1.32e-17	8.992.847	2.932.455	0.6388733	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6
GI_7661935-S	5.61e-16	1.35e-17	8.989.822	2.930.248	0.3710274	SAFB2	scaffold attachment factor B2
GI_14456712-S	6.03e-16	1.46e-17	-8.979.397	2.922.647	-0.8731504	HBQ1	hemoglobin subunit theta 1
GI_4505932-S	6.08e-16	1.48e-17	8.977.571	2.921.317	0.5841621	POLD1	DAN polymerase delta 1, catalytic subunit
GI_7661651-S	6.33e-16	1.55e-17	8.971.261	291.672	0.6547034	ZBTB20	zinc finger and BTB domain containing 20
GI_4505686-S	6.33e-16	1.56e-17	-8.970.332	2.916.043	-0.3730423	PDHB	pyruvate dehydrogenase (lipoamide) beta
GI_5729936-S	6.33e-16	1.57e-17	-8.970.313	2.916.029	-0.6091441	MTX2	metaxin 2
GI_13259542-A	6.38e-16	1.59e-17	-8.968.553	2.914.748	-0.3252617		
GI_4505780-S	6.97e-16	1.74e-17	8.956.083	290.567	0.6168165	PHKA2	phosphorylase kinase regulatory subunit alpha 2
GI_5453681-S	7.01e-16	1.76e-17	8.954.577	2.904.574	0.4127508	HEXIM1	hexamethylene bisacetamide inducible 1
GI_14249643-S	7.01e-16	1.77e-17	895.391	2.904.089	0.9325136		
GI_20336193-S	7.05e-16	1.79e-17	8.952.525	2.903.082	0.3507496	FURIN	furin, paired basic amino acid cleaving enzyme
GI_7706713-S	7.23e-16	1.84e-17	8.948.495	290.015	0.778691	SLCO3A1	solute carrier organic anion transporter family member 3A1
GI_40255250-S	7.24e-16	1.85e-17	-8.947.749	2.899.608	-0.4254784	FAM131A	family with sequence similarity 131 member A
GI_4758689-S	7.36e-16	1.89e-17	894.492	2.897.551	0.8328692	LRRFIP1	LRR binding FLII interacting protein 1
GI_24308092-S	7.42e-16	1.91e-17	8.943.258	2.896.342	0.3637624	LSM14A	LSM14A, mRNA processing body assembly factor
GI_42658480-S	7.67e-16	1.99e-17	8.938.129	2.892.615	0.811293		
GI_14149707-S	7.68e-16	2.00e-17	8.937.359	2.892.055	0.6759017	CCDC69	coiled-coil domain containing 69
GI_38261964-I	7.81e-16	2.04e-17	-8.934.515	2.889.989	-0.9434214	ARPP21	cAMP regulated phosphoprotein 21
GI_31317273-I	8.09e-16	2.12e-17	8.929.192	2.886.123	0.5726485	WDR20	WD repeat domain 20
GI_38788379-S	8.44e-16	2.23e-17	8.922.736	2.881.435	0.6585835	DHTKD1	dehydrogenase E1 and transketolase domain containing 1
GI_4758147-S	8.87e-16	2.35e-17	8.915.528	2.876.204	0.5759897	DFFA	DNA fragmentation factor subunit alpha
GI_17402870-I	8.97e-16	2.39e-17	-8.913.369	2.874.638	-0.4489373	BCCIP	BRCA2 and CDKN1A interacting protein
GI_6912273-S	9.05e-16	2.42e-17	-8.911.515	2.873.293	-0.3690964	TMEM59L	transmembrane protein 59 like
GI_8670543-A	9.51e-16	2.57e-17	8.903.745	2.867.659	0.2786265	CYTH1	cytohesin 1
GI_31982913-S	9.51e-16	2.57e-17	-8.903.724	2.867.643	-0.4454463	WDR54	WD repeat domain 54
GI_42657584-S	9.68e-16	2.62e-17	-890.068	2.865.437	-0.3592217	KIAA0319	KIAA0319
GI_30240931-S	9.88e-16	2.69e-17	8.897.405	2.863.064	0.5839768	EHD1	EH domain containing 1
GI_23111002-A	1.04e-15	2.85e-17	8.889.672	2.857.463	0.8809742		
GI_21702741-I	1.11e-15	3.06e-17	8.880.124	285.055	0.3808073	TNRC6A	trinucleotide repeat containing 6A
GI_31341423-S	1.13e-15	3.12e-17	8.877.387	284.857	0.9302462		
GI_14249531-S	1.13e-15	3.13e-17	8.876.807	2.848.151	0.829583	ZNF587	zinc finger protein 587
